erziehen	воспитать кого-л.
erziehen zu	воспитать кем-л., каким-л., в духе чего-л.
wissen von 	знать о чём-л.
riechen nach 	пахнуть чем-л.
zuhören 	слушать что-л., кого-л.
beschäftigen sich mit 	заниматься чем-л.
verabschieden sich von 	прощаться с кем-л.
greifen	схватить кого-л.
greifen nach	схватить за что-л.
streben nach 	стремиться к чему-л.
bemühen sich um 	трудиться, корпеть над чем-л.
behüten	оберегать кого-л.
behüten vor 	оберегать от чего-л.
kündigen 	увольнять кого-л.
nehmen	брать, взять, отнимать что-л., у кого-л., чего-л.
mahnen	напомнить кому-л.
mahnen an 	напомнить о чём-л.
streiten mit	спорить, ссориться с кем-л.
streiten über/um 	спорить, ссориться о чём-л., из-за чего-л.
forschen nach 	исследовать что-л.
jagen nach 	гнаться, охотиться за кем-л., чем-л.
schützen vor 	защищать, охранять от кого-л., чего-л.
schweigen von 	молчать о чём-л.
kneifen in 	щипать за что-л.
gehorchen 	слушаться кого-л., повиноваться кому-л.
wundern sich über 	удивляться чему-л.
einigen sich auf/über 	согласовать (между собой) что-л., договориться о чём-л., сойтись на чём-л.
schreiben mit 	писать чем-л.
schreiben an 	писать кому-л.
