leiden an/unter 	страдать чем-л., от чего-л.
einkehren bei 	заезжать, заехать, завернуть к кому-л.
bewerben sich um 	пода(ва)ть заявление о чем-л., претендовать на что-л., добиваться чего-л.
informieren über 	сообщать что-л., информировать о чём-л.
übersetzen über 	перевозить, переправлять; перешагнуть; переключать что-л.
zureden 	уговаривать кого-л.
beschuldigen	обвинять кого-л., в чём-л.
mangeln an 	недоставатьчего-л.
vorbeikommen bei 	зайти, заглянуть (по дороге) к кому-л.
bedienen sich 	пользоваться чем-л.
schimpfen mit 	ругаться, браниться с кем-л.
liegen an 	зависеть от чего-л., определяться чем-л.
verfügen über 	располагать, распоряжаться чем-л.
verlassen sich auf 	положиться на что-л., кого-л.
schelten auf 	бранить, проклинать кого-л.
ausgeben für 	тратить, расходовать на что-л.
nachdenken über 	думать, размышлять о ком-л., чём-л.
nachfolgen 	(по)следовать за кем-л., чем-л.
unterhalten sich über 	беседовать, разговаривать о ком-л., чём-л.
unterhalten sich mit	беседовать, разговаривать с кем-л.
warnen an/vor 	предупреждать, предостерегать о чём-л., от чего-л.
warnen 	предупреждать, предостерегать кого-л.
halten von 	быть какого-л. мнения о ком/чём-л.; уважать кого-л.
benehmen 	отнимать, забирать у кого-л.
träumen von 	мечтать о чём-л.
