leiten 	руководить кем-л., чем-л.
freuen sich auf 	радоваться чему-л. (предстоящему)
klagen über 	жаловаться на кого-л., что-л.
stoßen auf 	сталкиваться с чем-л., наталкиваться на что-л.
schmecken nach 	иметь вкус чего-л.
rechnen auf 	рассчитывать на что-л., кого-л.
beiwohnen 	присутствовать на чём-л.
handeln mit 	торговать чем-л., с кем-л.
diskutieren über 	дискутировать о чём-л., обсуждать что-л.
ernähren sich von 	питаться, прокармливаться, добывать себе пропитание чем-л.
sterben an 	умереть от чего-л.
spielen 	играть во что-л., на чём-л.
absagen von 	отказываться от чего-л.
vergewissern über 	убеждать в чём-л.
helfenbei 	помогать в чём-л.
helfen	помогать кому-л.
fertig sein mit 	довести до конца, завершить что-л.
kämpfen für/um 	бороться за что-л., кого-л.
einreden auf 	уговорить, убедить кого-л.
ärgern sich über 	злиться, сердиться на кого/что-л., из-за чего-л.
gelten als/für 	считаться, слыть кем-л., иметь репутацию кого-л.
tasten nach 	ощупывать что-л.
ausweichen 	избегатьчего-л., кого-л.
zugehen auf 	подходить к кому-л.; вступать в контакт, налаживать общение с кем-л.
