verlangen nach 	требовать чего-л.
verlangen von	требовать от кого-л.
wetten um 	спорить, держать пари на что-л.
kennen lernen 	(по)знакомиться с кем-л.
zusehen 	глядеть на кого-л., что-л.
zustoßen 	случиться с кем-л., чем-л.
lauern auf 	поджидать, подкарауливать кого-л.
lassen von 	отказываться от кого-л., чего-л.
sprechen über/von 	говорить о чём-л., ком-л.
sprechen mit	говорить с кем-л.
verzweifeln an 	отчаиваться в чём-л.
erschrecken vor 	испугаться чего-л., кого-л.
bitten um 	просить что-л., о чём-л.
folgen 	(по)следовать за кем/чем-л., повиноваться кому/чему-л.
achten auf 	обращать внимание на кого-л., что-л.; внимательно следить за кем-л., чем-л.
überreden zu 	уговорить, упросить, уломать о чём-л., на что-л.
überreden	уговорить, упросить, уломать кого-л.
werden zu 	превращаться в кого-л., во что-л.
lachen über 	смеяться над кем-л, чем-л.
spielen um 	играть на что-л., ставить что-л. на кон
grenzen an 	граничить с чем-л.
reden von/über 	говорить о чём-л, ком-л.
beschränken sich auf 	ограничиваться чем-л.
wenden sich an 	обращаться к кому-л.
gleichen 	быть похожим на кого/что-л. , подобным/равным кому/чему-л.
