begründen mit 	обоснов(ыв)ать чем-л.
blättern in 	листать, перелистывать что-л.
hindern an 	препятствовать в чём-л.
vorbereiten sich auf 	готовиться к чему-л.
informieren sich über 	собирать информацию, справляться о чём-л.; узнавать, выяснять что-л.
bewundern 	любоваться, восхищаться чем-л.
beklagen sich über 	пожаловаться на кого-л., что-л.
beklagen sich bei 	пожаловаться кому-л., куда-л. 
bestehen auf 	настаивать на чём-л.
vorwerfen 	упрекать кого-л., в чём-л.
nähern sich 	приближаться к чему-л.
versichern 	уверять в чём-л.
entgehen 	ускользать, сбежать от кого-л., чего-л.
zielen nach 	целиться в кого-л., во что-л.
zeugen von 	свидетельствовать о чём-л.
beneiden um 	завидовать в чём-л.
beneiden	завидовать кому-л.
konzentrieren sich auf 	сосредоточи(ва)ться, (с)концентрироваться на чём-л., ком-л.
lehnen sich an/gegen 	прислоняться к чему-л.
begeistern sich für 	вдохновляться, восхищаться кем-л., чем-л.
profitieren von 	извлекать выгоду/прибыль из чего-л., пользоваться чем-л., наживаться на чём-л.
anstoßen an 	заде(ва)ть за что-л., натолкнуться на что-л.
vertrauen auf 	доверять чему-л., кому-л.
stimmen gegen 	голосовать против кого-л., чего-л.
stimmen für	голосовать за кого-л., что-л.
kleben an 	клеиться, приклеиваться, приставать к кому-л., чему-л.
