betreten 	войти во что-л., куда-л.
halten für 	принимать, считать кем-л., за кого-л.
halten	принимать, считать кого-л.
berechtigen zu 	давать/предоставлять право на что-л.
berechtigen	давать/предоставлять право кому-л.
abziehen von 	отвлекать от чего-л.
abziehen	отвлекать кого-л.
gewöhnen sich an 	привыкать к чему-л., кому-л.
wählen zu 	избирать кем-л.
wachen über 	следить, присматривать за кем-л., чем-л.
übersetzen in 	переводить на какой-л. язык
übersetzen aus	переводить с какого-л. языка
genießen 	наслаждаться чем-л.
beglückwünschen zu 	поздравлять с чем-л. (b)
eingehen auf 	согласиться, пойти на что-л.
halten sich an 	придерживаться чего-л.
kümmern sich um 	заботиться, беспокоиться о ком-л., чём-л.
erfahren durch | über 	узнать от кого-л. | о чём-л.
fehlen an 	не хватать, недоставать чего-л.
fehlen	не хватать, недоставать кому-л.
sehnen sich nach 	тосковать по кому-л., чему-л.
hoffen auf 	надеяться на что-л., кого-л.
stolz sein auf 	гордиться чем-л., кем-л.
fragen nach , über 	спрашивать о чём-л., ком-л.
fragen	спрашивать что-л., у кого-л.
deuten auf 	указывать, намекать на что-л.; предвещать, сулить что-л.
passieren 	происходить с кем/чем-л., у кого/чего-л.
jammern über , um 	оплакивать кого-л.
fürchten sich vor 	опасаться кого-л., чего-л.
richten sich an 	обращаться к кому-л.
